scenario,stage,period,price,buy_volume_mwh,DKL_ICE_H,VAS_ST_H,VAS_CCGT_D,DKL_ST_H,VAS_GT_D,IND,COM,RESI,PV_C,PV_A,W_C,W_A
Baseline,DAM,1,156.17,274.240775,52.5,195.0,24.826209,0.0,0.0,-74.4272491009418,-60.56652229256942,-140.27792396338876,0.0,0.0,1.4727433745923078,1.4727433923076922
Baseline,DAM,2,156.17,274.240771,52.5,195.0,24.826209,0.0,0.0,-74.42724802825515,-60.774216946800685,-140.07022638184415,0.0,0.0,1.4727433745923078,1.4727433923076922
Baseline,DAM,3,156.17,267.743115,52.5,195.0,18.244262,0.0,0.0,-74.42724855697276,-59.13849446966493,-135.2536787498373,0.0,0.0,1.537581106475,1.5375811
Baseline,DAM,4,156.17,267.743116,52.5,195.0,18.244262,0.0,0.0,-74.42724883150716,-59.62546557552437,-134.76670836944345,0.0,0.0,1.537581106475,1.5375811
Baseline,DAM,5,156.17,250.94699,52.5,195.0,0.67147572,0.0,0.0,-74.42724768949054,-55.27044884358704,-122.7438037849224,0.0,0.0,2.1350147303076925,2.135014707692308
Baseline,DAM,6,156.17,250.94699500000002,52.5,195.0,0.67147572,0.0,0.0,-74.42724914689474,-56.24619530964944,-121.76806086145584,0.0,0.0,2.1350147303076925,2.135014707692308
Baseline,DAM,7,130.24,231.76471600000002,52.5,175.51385,0.0,0.0,0.0,-74.42725041490837,-51.59006614841109,-107.76709558893054,0.0,0.0,2.8852802145576923,2.885280207692307
Baseline,DAM,8,130.24,231.764711,52.5,175.51385,0.0,0.0,0.0,-74.42724884659194,-53.29377000013452,-106.06338830552353,0.0,0.0,2.8852802145576923,2.885280207692307
Baseline,DAM,9,130.24,221.518062,52.5,166.29372,0.0,0.0,0.0,-74.42724926667266,-51.7947591690229,-96.76300783105442,0.0,0.0,2.095648964442308,2.0956489923076926
Baseline,DAM,10,130.24,221.518062,52.5,166.29372,0.0,0.0,0.0,-74.42724926667266,-54.505655878779024,-94.0521111212983,0.0,0.0,2.095648964442308,2.0956489923076926
Baseline,DAM,11,130.24,220.75642,52.5,166.35992,0.0,0.0,0.0,-74.42724907966496,-57.38268161871411,-89.96768400307093,0.0,0.0,1.4588495791423077,1.458849592307692
Baseline,DAM,12,130.24,220.75642,52.5,166.35992,0.0,0.0,0.0,-74.42724907966495,-61.31875562216524,-86.0316099996198,0.0,0.0,1.4588495791423077,1.458849592307692
Baseline,DAM,13,156.17,226.95375,52.5,136.5,35.951807,0.0,0.0,-74.4272489340643,-68.58549907442317,-85.01897164056255,5.9899999605492635e-05,5.989999868497546e-05,1.5398967313580867,1.5398967076936227
Baseline,DAM,14,156.17,226.95375,52.5,136.5,35.951807,0.0,0.0,-74.4272489340643,-73.66674413457157,-79.93772658041414,5.9899999605492635e-05,5.989999868497546e-05,1.5398967313580867,1.5398967076936227
Baseline,DAM,15,156.17,216.21820300000002,52.5,136.5,19.831288,0.0,0.0,-74.42724912473685,-74.94663543216761,-70.82188787897057,4.55568600987529,4.555686032917632,1.1265560536920178,1.12655605939006
Baseline,DAM,16,156.17,216.21820300000002,52.5,136.5,19.831288,0.0,0.0,-74.42724912473685,-80.0025112035333,-65.76601210760488,4.55568600987529,4.555686032917632,1.1265560536920178,1.12655605939006
Baseline,DAM,17,130.24,189.17005100000003,52.5,106.94452,0.0,0.0,0.0,-74.42724919833404,-76.1406290247234,-54.608229396467586,22.095846835239364,22.09584691746454,0.7699483719779452,0.7699483748431507
Baseline,DAM,18,130.24,189.17005,52.5,106.94452,0.0,0.0,0.0,-74.42724880733513,-80.2250661801149,-50.52379163207497,22.095846835239364,22.09584691746454,0.7699483719779452,0.7699483748431507
Baseline,DAM,19,130.24,142.129635,52.5,34.996779,0.0,0.0,0.0,-74.42724868686439,-62.32396798059986,-34.79611031506076,41.31784790947871,41.31784769826237,0.7074262592001338,0.7074262555837794
Baseline,DAM,20,130.24,142.12963500000004,52.5,34.996779,0.0,0.0,0.0,-74.4272486868644,-64.70123461380567,-32.41884368185495,41.31784790947871,41.31784769826237,0.7074262592001338,0.7074262555837794
Baseline,DAM,21,130.24,128.049106,52.5,8.2369641,0.0,0.0,0.0,-74.42724891109462,-61.70835623130542,-28.158500509999936,51.389544234728056,51.389543849093535,0.3890265307488667,0.38902652782955566
Baseline,DAM,22,130.24,128.04910599999997,52.5,8.2369641,0.0,0.0,0.0,-74.42724891109462,-63.16758066552562,-26.69927607577973,51.389544234728056,51.389543849093535,0.3890265307488667,0.38902652782955566
Baseline,DAM,23,125.3,123.752358,51.542318,0.0,0.0,0.0,0.0,-74.42724862560308,-63.045804127093334,-25.161634836378582,55.34009374427549,55.340093847584996,0.20609142741488587,0.20609142779961961
Baseline,DAM,24,125.3,123.75235900000001,51.542318,0.0,0.0,0.0,0.0,-74.42724922602473,-63.68597529181453,-24.521464071235762,55.34009374427549,55.340093847584996,0.20609142741488587,0.20609142779961961
Baseline,DAM,25,130.24,129.219719,52.5,5.3465594,0.0,0.0,0.0,-74.42724886809597,-67.53183932498729,-25.69233238179173,54.67086725715312,54.67086692384372,0.23156342064495905,0.23156341923319687
Baseline,DAM,26,130.24,129.21972,52.5,5.3465594,0.0,0.0,0.0,-74.42724944299516,-67.26675730045454,-25.957414831425282,54.67086725715312,54.67086692384372,0.23156342064495905,0.23156341923319687
Baseline,DAM,27,130.24,133.379474,52.5,15.690942000000001,0.0,0.0,0.0,-74.42724935913209,-67.05740236265522,-26.99633932076267,49.98640330420015,49.98640308066717,0.1586209461960001,0.15862094548666694
Baseline,DAM,28,130.24,133.37947400000002,52.5,15.690942000000001,0.0,0.0,0.0,-74.4272493591321,-65.65475549013358,-28.398986193284333,49.98640330420015,49.98640308066717,0.1586209461960001,0.15862094548666694
Baseline,DAM,29,130.24,154.224398,52.5,50.122071,0.0,0.0,0.0,-74.42724970686987,-72.75506162680524,-34.82795449982488,39.50537281150578,39.50537307168593,0.188724205532683,0.18872420677560992
Baseline,DAM,30,130.24,154.224397,52.5,50.122071,0.0,0.0,0.0,-74.42724922501347,-69.6327359861002,-37.95027962238634,39.50537281150578,39.50537307168593,0.188724205532683,0.18872420677560992
Baseline,DAM,31,130.24,201.051685,52.5,118.74504,0.0,0.0,0.0,-74.4272487462148,-87.17730949189583,-55.49685896931437,22.53800437567353,22.538004085578432,0.39018436559762465,0.39018436057541556
Baseline,DAM,32,130.24,201.051686,52.5,118.74504,0.0,0.0,0.0,-74.42724911524,-81.07336925241343,-61.60079983977157,22.53800437567353,22.538004085578432,0.39018436559762465,0.39018436057541556
Baseline,DAM,33,156.17,255.456971,52.5,136.5,57.259586,0.0,0.0,-74.42724912442262,-96.76063820185139,-89.22152191500099,6.014351306822017,6.0143513227400565,1.0605604744529828,1.0605604772599428
Baseline,DAM,34,156.17,255.456971,52.5,136.5,57.259586,0.0,0.0,-74.42724912442263,-87.25460481469003,-98.72755530216237,6.014351306822017,6.0143513227400565,1.0605604744529828,1.0605604772599428
Baseline,DAM,35,156.17,310.944445,52.5,136.5,120.26017000000002,0.0,0.0,-74.42724810673884,-99.09812261578779,-138.32599243122337,0.0,0.0,1.2955973714423075,1.2955973923076922
Baseline,DAM,36,156.17,310.944448,52.5,136.5,120.26017000000002,0.0,0.0,-74.42724881731486,-87.25243708898714,-150.17168024744802,0.0,0.0,1.2955973714423075,1.2955973923076922
Baseline,DAM,37,156.17,344.859734,52.5,195.0,96.20829,0.0,0.0,-74.42724809911566,-87.1853016482191,-183.86719532336525,0.0,0.0,0.8857301007,0.8857301
Baseline,DAM,38,156.17,344.859742,52.5,195.0,96.20829,0.0,0.0,-74.42724981333863,-76.27939197531808,-194.77311128204326,0.0,0.0,0.8857301007,0.8857301
Baseline,DAM,39,156.17,355.666272,52.5,195.0,107.41369,0.0,0.0,-74.42724915434962,-69.74791825342528,-211.8963405931501,0.0,0.0,0.5789085716942307,0.5789085692307692
Baseline,DAM,40,156.17,355.666271,52.5,195.0,107.41369,0.0,0.0,-74.42724894606475,-62.124156994139724,-219.52010106072052,0.0,0.0,0.5789085716942307,0.5789085692307692
Baseline,DAM,41,156.17,356.078561,52.5,195.0,108.03217999999998,0.0,0.0,-74.42725009955556,-56.394615062128054,-225.55089717669134,0.0,0.0,0.4202876276057692,0.4202876307692307
Baseline,DAM,42,156.17,356.07856000000004,52.5,195.0,108.03217999999998,0.0,0.0,-74.4272498912446,-52.309453634234686,-229.63605781289573,0.0,0.0,0.4202876276057692,0.4202876307692307
Baseline,DAM,43,156.17,345.31399,52.5,195.0,97.096029,0.0,0.0,-74.42724883786494,-47.89708755801516,-223.3762487242199,0.0,0.0,0.5522787416384616,0.5522787384615384
Baseline,DAM,44,156.17,345.313994,52.5,195.0,97.096029,0.0,0.0,-74.42724969616648,-46.81248199873954,-224.46085742519395,0.0,0.0,0.5522787416384616,0.5522787384615384
Baseline,DAM,45,156.17,322.285634,52.5,195.0,73.9894,0.0,0.0,-74.42724986668851,-42.955776452215666,-205.33134736309583,0.0,0.0,0.6124852604615385,0.6124852615384616
Baseline,DAM,46,156.17,322.28563199999996,52.5,195.0,73.9894,0.0,0.0,-74.42724940709769,-44.04199377058723,-204.24512850431503,0.0,0.0,0.6124852604615385,0.6124852615384616
Baseline,DAM,47,156.17,292.959309,52.5,195.0,44.684149,0.0,0.0,-74.4272494301834,-40.54061488731782,-178.40883773899878,0.0,0.0,0.5962757941923077,0.5962757923076923
Baseline,DAM,48,156.17,292.959312,52.5,195.0,44.684149,0.0,0.0,-74.42725018867935,-42.855348825466535,-176.0941060423541,0.0,0.0,0.5962757941923077,0.5962757923076923
Baseline,IDA1,1,140.553,24.826209,52.5,195.0,0.0,0.0,0.0,-71.48949840680899,-58.17587444452695,-134.74095231043154,0.0,0.0,8.453162735081971,8.453162736685552
Baseline,IDA1,2,140.553,24.826209,52.5,195.0,0.0,0.0,0.0,-71.48949786739205,-58.375371501713204,-134.54145379465658,0.0,0.0,8.453163786079127,8.453163787682708
Baseline,IDA1,3,140.553,18.244262,52.5,195.0,0.0,0.0,0.0,-71.20833817780456,-56.58080871316403,-129.40408094089355,0.0,0.0,4.846615133030906,4.846615128831266
Baseline,IDA1,4,140.553,18.244262,52.5,195.0,0.0,0.0,0.0,-71.20833848843948,-57.04671880200086,-128.9381716688505,0.0,0.0,4.846614996745235,4.846614992545597
Baseline,IDA1,5,140.553,0.67147572,52.5,195.0,0.0,0.0,0.0,-74.29822609846059,-55.174636067315745,-122.5310241737675,0.0,0.0,2.251945600933765,2.2519455786100773
Baseline,IDA1,6,140.553,0.67147572,52.5,195.0,0.0,0.0,0.0,-74.29822754945862,-56.14869104807703,-121.55697271954735,0.0,0.0,2.251945589703338,2.2519455673796496
Baseline,IDA1,7,130.24,38.838319,52.5,136.67553099999998,0.0,0.0,0.0,-66.61496326030893,-46.17489347628505,-96.45527774651717,0.0,0.0,10.034800926555572,10.034800926555572
Baseline,IDA1,8,130.24,38.838314,52.5,136.675536,0.0,0.0,0.0,-66.61496338099829,-47.69976846267534,-94.93040301853647,0.0,0.0,10.03480081610505,10.03480081610505
Baseline,IDA1,9,130.24,30.292627999999997,52.5,136.001092,0.0,0.0,0.0,-69.35406589293484,-48.26427384570498,-90.16735250902643,0.0,0.0,9.642300868833125,9.642300868833125
Baseline,IDA1,10,130.24,30.292627999999997,52.5,136.001092,0.0,0.0,0.0,-69.35406589293484,-50.790387747308785,-87.6412386074226,0.0,0.0,9.642300868833118,9.642300868833118
Baseline,IDA1,11,130.24,20.734704,52.5,145.625216,0.0,0.0,0.0,-72.56278177050645,-55.945195546192934,-87.71391528598004,0.0,0.0,9.048340686339706,9.048340686339708
Baseline,IDA1,12,130.24,20.734704,52.5,145.625216,0.0,0.0,0.0,-72.56278177949845,-59.782667480593666,-83.87644336938162,0.0,0.0,9.048340649736877,9.048340649736877
Baseline,IDA1,13,156.17,13.134277339999999,52.5,136.5,35.79168356,0.0,0.0,-78.66188165610662,-72.4877580314623,-89.8562338614811,5.9899999605492635e-05,5.989999868497546e-05,8.107035419525854,8.107035419525856
Baseline,IDA1,14,156.17,13.134277439999998,52.5,136.5,35.79168356,0.0,0.0,-78.66188168874561,-77.85810700617209,-84.4858849541323,5.9899999605492635e-05,5.989999868497546e-05,8.107035419525854,8.107035419525856
Baseline,IDA1,15,171.787,38.894007242792924,52.5,140.05697045705713,32.002128940361985,10.944524483252692,1.1552553621211177,-86.97293324055552,-87.57986888849476,-82.75984130682475,3.6671179,3.6671179,6.659763956541038,6.659763956541038
Baseline,IDA1,16,171.787,38.894007242792924,52.5,140.05697045705713,32.002128940361985,10.944524483252692,1.1552553621211177,-86.97293324055552,-93.48797850031056,-76.85173169500895,3.6671179,3.6671179,6.659763956541038,6.659763956541038
Baseline,IDA1,17,143.264,54.498401952703915,52.5,114.76119349681309,19.52937136108826,15.978576568163122,1.6866275266394408,-92.73488174039225,-94.86971916437167,-68.04077471476108,20.081279899999995,20.081279899999995,5.513525073410548,5.513525073410548
Baseline,IDA1,18,143.264,54.49840395270391,52.5,114.76119367047353,19.52937179496583,15.978576923153861,1.6866275641106854,-92.73488210314038,-99.9588479792702,-62.951646537114414,20.081279899999995,20.081279899999995,5.513525073410548,5.513525073410548
Baseline,IDA1,19,143.264,60.814328607741075,52.5,49.7712963017114,20.314552332521547,16.620997362972172,1.7544386105359515,-98.72028256621634,-82.66649411835823,-46.15355129795043,38.907184,38.907184,4.382337757391957,4.382337757391957
Baseline,IDA1,20,143.264,60.814328607741075,52.5,49.7712963017114,20.314552332521547,16.620997362972172,1.7544386105359515,-98.72028256621635,-85.8196999389898,-43.00034547731887,38.907184,38.907184,4.382337757391957,4.382337757391957
Baseline,IDA1,21,143.264,39.11081618382159,52.5,18.81524950158361,12.460831861795596,10.195226068741851,1.0761627517005288,-89.13067250514572,-73.89910769427877,-33.72133355297549,48.06264,48.06264,2.789181429289211,2.789181429289211
Baseline,IDA1,22,143.264,39.11081708382159,52.5,18.81524950158361,12.460831861795596,10.195226068741851,1.0761627517005288,-89.13067291285678,-75.64660854666924,-31.973833192873947,48.06264,48.06264,2.789181429289211,2.789181429289211
Baseline,IDA1,23,137.83,24.680186991860488,51.576854524211214,7.032211340702945,7.933776897203322,6.491272006802718,0.6851898229402869,-81.43059121732158,-68.97819254348815,-27.52925622826527,50.6516765,50.6516765,1.4576917276072527,1.4576917276072527
Baseline,IDA1,24,137.83,24.680185991860487,51.5768545226539,7.032211023607954,7.9337765394551285,6.491271714099651,0.685189792043852,-81.43059121732158,-69.67860129605194,-26.828847475701497,50.6516765,50.6516765,1.4576917276072527,1.4576917276072527
Baseline,IDA1,25,143.264,19.583403780996846,52.5,10.967385026237434,6.520217265028807,5.334723216841751,0.5631096728888514,-77.94765016511072,-70.72608833976898,-26.907577069995295,48.8441127,48.8441127,1.003827424939078,1.0038274249390777
Baseline,IDA1,26,143.264,19.583402780996845,52.5,10.967384714642316,6.52021690357517,5.334722921106957,0.563109641672401,-77.9476501651107,-70.44846768312577,-27.185197726638506,48.8441127,48.8441127,1.003827424939078,1.0038274249390777
Baseline,IDA1,27,143.264,35.69705628486733,52.5,25.940096479102593,12.575014394434945,10.288648140901318,1.0860239704284727,-82.4360227399433,-74.27314057456893,-29.901291028037758,41.2026067,41.2026067,0.9077286258413337,0.9077286258413336
Baseline,IDA1,28,143.264,35.69705638486733,52.5,25.940096479102593,12.575014394434945,10.288648140901318,1.0860239704284727,-82.43602278411878,-72.71956137375035,-31.4548702846809,41.2026067,41.2026067,0.9077286258413337,0.9077286258413336
Baseline,IDA1,29,143.264,51.79412028319171,52.5,63.05418622533986,19.63767268908689,16.06718674561655,1.6959808231484133,-86.70741291897662,-84.75932150694496,-40.574411207578414,28.6237527,28.6237527,0.9193067861541464,0.9193067861541464
Baseline,IDA1,30,143.264,51.7941221831917,52.5,63.05418648227123,19.63767307924226,16.067187064834574,1.6959808568436492,-86.70741328700271,-81.12182679620234,-44.211906450294954,28.6237527,28.6237527,0.9193067861541464,0.9193067861541464
Baseline,IDA1,31,143.264,52.80598406125196,52.5,126.69166131462168,22.92646523212091,18.75801700809893,1.9800129064104421,-86.7695696885817,-101.63398154536063,-64.69994057348266,14.1360495,14.1360495,0.9876179980865201,0.9876179980865201
Baseline,IDA1,32,143.264,52.80598346125196,52.5,126.69166116065057,22.926464787905267,18.758016644649764,1.980012868046364,-86.76956982571069,-94.51782052972558,-71.81610185198873,14.1360495,14.1360495,0.9876179980865201,0.9876179980865201
Baseline,IDA1,33,171.787,40.10690062956208,52.5,142.0396051342872,72.6701438282124,17.044938874729866,1.799187992332597,-84.29907188200076,-109.59469940274109,-101.05561575653316,3.2308899,3.2308899,1.2168657858564629,1.2168657858564629
Baseline,IDA1,34,171.787,40.10690062956208,52.5,142.0396051342872,72.6701438282124,17.044938874729866,1.799187992332597,-84.29907188200079,-98.82781225800376,-111.82250290127048,3.2308899,3.2308899,1.2168657858564629,1.2168657858564629
Baseline,IDA1,35,171.787,40.6699551,52.5,143.15007123225874,131.59823793492953,20.461757637719177,2.1598521950925798,-84.13364414556273,-112.02195965759903,-156.36571445058826,0.0,0.0,1.3257005813749998,1.325700581375
Baseline,IDA1,36,171.787,40.6699524,52.5,143.15007074099213,131.59823709734238,20.46175612612961,2.1598520355359034,-84.13364421716149,-98.63142351870218,-169.75625081788635,0.0,0.0,1.3257005813749998,1.325700581375
Baseline,IDA1,37,171.787,34.5225357,52.5,195.0,109.19559150480151,18.884255422792613,1.993338072405887,-81.86449258056936,-95.89741207560563,-202.24037611452502,0.0,0.0,1.21455015535,1.21455015535
Baseline,IDA1,38,171.787,34.5225272,52.5,195.0,109.19558843677451,18.884250961711505,1.993337601513992,-81.86449247285356,-83.90171241629372,-214.2360753815527,0.0,0.0,1.21455015535,1.21455015535
Baseline,IDA1,39,171.787,26.118735,52.5,195.0,116.70481697409167,14.854406857605518,1.5679651683028049,-79.88667388735323,-74.86410237013087,-227.4394667434409,0.0,0.0,0.7815265304625,0.7815265304625
Baseline,IDA1,40,171.787,26.1187364,52.5,195.0,116.70481733542434,14.854407435294574,1.5679652292810937,-79.88667397096256,-66.68111942657228,-235.62245000339016,0.0,0.0,0.7815265304625,0.7815265304625
Baseline,IDA1,41,171.787,17.5889157,52.5,195.0,114.28107593701854,10.04575483083748,1.0603852321439562,-78.100635854806,-59.177993128177384,-236.68304905539156,0.0,0.0,0.5372271541875,0.5372271541875
Baseline,IDA1,42,171.787,17.5889164,52.5,195.0,114.28107629708094,10.04575540967551,1.0603852932435258,-78.10063579215203,-54.89120708609035,-240.96983486013264,0.0,0.0,0.5372271541875,0.5372271541875
Baseline,IDA1,43,171.787,12.164020300000002,52.5,195.0,101.48212897070277,6.423698016449757,0.6780570128474742,-77.04608896824335,-49.58242212357632,-231.23609432828033,0.0,0.0,0.89036136505,0.89036136505
Baseline,IDA1,44,171.787,12.1640163,52.5,195.0,101.48212744348992,6.423695779757869,0.6780567767522195,-77.04608896824335,-48.459652445795754,-232.35886400606086,0.0,0.0,0.89036136505,0.89036136505
Baseline,IDA1,45,171.787,8.4974073,52.5,195.0,77.18767865507286,3.942797015511987,0.4161841294151542,-76.38699727436152,-44.08684701484706,-210.73793669279144,0.0,0.0,1.0825590010000001,1.082559001
Baseline,IDA1,46,171.787,8.4974094,52.5,195.0,77.18767950148512,3.9427980589581884,0.41618423955669764,-76.3869972974244,-45.20166586648204,-209.6231179180935,0.0,0.0,1.0825590010000001,1.082559001
Baseline,IDA1,47,171.787,4.53315118,52.5,195.0,46.19019746776061,1.5462875869501986,0.1632192452891876,-75.57727249450785,-41.16703387305337,-181.16554686893878,0.0,0.0,1.25507374325,1.25507374325
Baseline,IDA1,48,171.787,4.5331481700000005,52.5,195.0,46.19019606267036,1.5462861443182647,0.16321909301137238,-75.57727249197093,-43.517533799565115,-178.81504693496393,0.0,0.0,1.25507374325,1.25507374325
Baseline,IDA2,1,171.787,4.353366835767522,52.5,195.0,2.2857773152001313,1.8701814397091983,0.19740804085819313,-72.00464377264782,-58.5950833184502,-135.71188061066945,0.0,0.0,7.229120588000001,7.229120588000001
Baseline,IDA2,2,171.787,4.353370927761834,52.5,195.0,2.285779468991894,1.8701832019024587,0.19740822686748177,-72.00464377048327,-58.79601837205005,-135.5109455512285,0.0,0.0,7.229120588000001,7.229120588000001
Baseline,IDA2,3,0.0,0.0,52.5,195.0,0.0,0.0,0.0,-71.20833817780456,-56.58080871316403,-129.40408094089355,0.0,0.0,4.846615133030906,4.846615128831266
Baseline,IDA2,4,0.0,0.0,52.5,195.0,0.0,0.0,0.0,-71.20833848843948,-57.04671880200086,-128.9381716688505,0.0,0.0,4.846614996745235,4.846614992545597
Baseline,IDA2,5,0.0,0.0,52.5,195.0,0.0,0.0,0.0,-74.29822609846059,-55.174636067315745,-122.5310241737675,0.0,0.0,2.251945600933765,2.2519455786100773
Baseline,IDA2,6,0.0,0.0,52.5,195.0,0.0,0.0,0.0,-74.29822754945862,-56.14869104807703,-121.55697271954735,0.0,0.0,2.251945589703338,2.2519455673796496
Baseline,IDA2,7,143.264,9.709578905611144,52.5,137.86194835478128,4.475168356044306,3.6615013822180686,0.38649181256746284,-68.56803476180734,-47.52868643989972,-99.28323178140408,0.0,0.0,8.24742072375,8.24742072375
Baseline,IDA2,8,143.264,9.709578284710101,52.5,137.86195318963257,4.475168116747148,3.661501186429485,0.3864917919008901,-68.5680347551533,-49.09826885372782,-97.71364935332898,0.0,0.0,8.24742072375,8.24742072375
Baseline,IDA2,9,143.264,7.573156822666249,52.5,136.93583886902434,3.485561312174744,2.851822891779336,0.3010257496878188,-70.6223617018036,-49.14689515201887,-91.81626629384378,0.0,0.0,7.755637907500001,7.755637907500001
Baseline,IDA2,10,143.264,7.573156822666235,52.5,136.93583886902434,3.4855613121747373,2.8518228917793307,0.3010257496878182,-70.62236170180358,-51.71920475437763,-89.243956691485,0.0,0.0,7.755637907500001,7.755637907500001
Baseline,IDA2,11,143.264,5.183676090929414,52.5,146.17166489965,2.434820938619256,1.992126222506664,0.2102799901534812,-73.0288986028737,-56.30456706831334,-88.2773574714924,0.0,0.0,7.150967910875,7.150967910875
Baseline,IDA2,12,143.264,5.183676007723754,52.5,146.17166489193286,2.434820904233875,1.9921261943731707,0.2102799871838347,-73.02889860850975,-60.16668951933757,-84.41523503162642,0.0,0.0,7.150967910875,7.150967910875
Baseline,IDA2,13,171.787,3.283569345801709,52.5,136.50530172535187,35.80837795147512,0.016313001082664477,0.0017219278920590283,-77.60322353563097,-71.51219334804203,-88.64691837537701,5.9899999605492635e-05,5.989999868497546e-05,6.465250746625,6.465250746625
Baseline,IDA2,14,171.787,3.283569345801709,52.5,136.50530171210784,35.80837790977151,0.016312960331790246,0.0017219235905778594,-77.60322349972807,-76.81026628848329,-83.34884536083864,5.9899999605492635e-05,5.989999868497546e-05,6.465250746625,6.465250746625
Baseline,IDA2,15,156.19,9.723501683707076,52.5,140.0569704677567,32.00212897697261,5.142882116174483,-3.440380424990508e-08,-83.8365122584942,-84.4215605717187,-79.77535299447986,3.8892599244088624,3.8892599244088624,5.2764620146875005,5.2764620146875005
Baseline,IDA2,16,156.19,9.723501683707076,52.5,140.0569704677567,32.00212897697261,5.142882116174483,-3.440380424990508e-08,-83.8365122262381,-90.1166116919332,-74.08030181109062,3.889259926693451,3.889259926693451,5.2764620146875005,5.2764620146875005
Baseline,IDA2,17,143.264,39.566363875196096,52.5,119.26625165346552,11.255549640514527,9.20908534223916,0.9720701916808004,-88.1579737445436,-90.18744677604982,-64.68263848822741,20.5849216246479,20.5849216246479,4.3276308858125,4.3276308858125
Baseline,IDA2,18,143.264,39.566364975196095,52.5,119.26625182712596,11.2555490743921,9.2090856972299,0.9720701291520448,-88.15797371430992,-95.02540244638739,-59.84468276477732,20.584921627974808,20.584921627974808,4.3276308858125,4.3276308858125
Baseline,IDA2,19,143.264,40.527443370658915,52.5,56.76935659655074,9.62213953223588,7.872659708192991,0.8310029414203709,-92.64702418151978,-77.58086262007888,-43.31419108627572,39.50985000267469,39.50985000267469,3.4636098720625,3.4636098720625
Baseline,IDA2,20,143.264,40.527443370658915,52.5,56.76935659655074,9.62213953223588,7.872659708192991,0.8310029414203709,-92.6470241815198,-80.54008364659299,-40.354970059761605,39.50985000267469,39.50985000267469,3.4636098720625,3.4636098720625
Baseline,IDA2,21,143.264,24.93229826257842,52.5,23.48756838195139,5.503819976560134,4.503125617185564,0.47532987070292054,-85.45481671165335,-70.85141989481502,-32.330625328510585,48.8943660912895,48.8943660912895,2.189142698,2.189142698
Baseline,IDA2,22,143.264,24.93229826257842,52.5,23.487568073641004,5.5038196133818165,4.503125320039668,0.4753298393375205,-85.45481667405909,-72.52685135329511,-30.655193824637458,48.89436609979585,48.89436609979585,2.189142698,2.189142698
Baseline,IDA2,23,137.83,15.736038854964505,51.591751774769236,10.065539584121943,3.4222164769580887,2.799995308420254,0.29555506255547126,-79.67975568892817,-67.49509548642281,-26.937350911674137,51.823780803975055,51.823780803975055,1.144791660125,1.144791660125
Baseline,IDA2,24,137.83,15.736038124964505,51.59175177227753,10.065539076769959,3.422216304560979,2.7999951400953464,0.2955550431211754,-79.67975570311636,-68.18044479361795,-26.25200162129412,51.82378079447671,51.82378079447671,1.144791660125,1.144791660125
Baseline,IDA2,25,143.264,12.804182172878155,52.5,13.431582419998422,2.8584950438015437,2.3387687176558085,0.24687003241922412,-77.06754990221167,-69.92752611486803,-26.60376591464787,50.30080138842629,50.30080138842629,0.8107614235,0.8107614235
Baseline,IDA2,26,143.264,12.804181442878155,52.5,13.431581890286722,2.8584948293303603,2.3387685149066586,0.24687000935125836,-77.06754990221167,-69.65304004935592,-26.878251980159977,50.300801388426294,50.300801388426294,0.8107614235,0.8107614235
Baseline,IDA2,27,143.264,24.324239837932666,52.5,30.55536199079817,5.662616794845832,4.633049923055677,0.48904411410032167,-80.43382933025329,-72.4692059882958,-29.17505308195897,43.39855589897903,43.39855589897903,0.720451706875,0.720451706875
Baseline,IDA2,28,143.264,24.324239837932666,52.5,30.55536199079817,5.662616794845832,4.633049923055677,0.48904411410032167,-80.43382935044515,-70.95335985935368,-30.690899236417557,43.39855587683317,43.39855587683317,0.720451706875,0.720451706875
Baseline,IDA2,29,143.264,37.76613208743329,52.5,69.43060653256396,9.682720012824415,7.92222546503816,0.836234960198472,-83.63737207584667,-81.75825654488159,-39.137797019704834,31.344157703466553,31.344157703466553,0.7366611424375,0.7366611424375
Baseline,IDA2,30,143.264,37.76613218743329,52.5,69.43060678949533,9.682720402979784,7.9222257842561845,0.8362348938937082,-83.63737207584668,-78.24955391955393,-42.646499645032485,31.344157703466546,31.344157703466546,0.7366611424375,0.7366611424375
Baseline,IDA2,31,143.264,43.96321171454804,52.5,131.42807709725156,13.664835571075558,11.18031983088,1.1801448765928886,-83.68398956776058,-98.0198136500745,-62.39917025540516,16.23653823290762,16.23653823290762,0.8382595908125,0.8382595908125
Baseline,IDA2,32,143.264,43.96321171454804,52.5,131.42807678930933,13.664834682644273,11.180319103981676,1.180144799864732,-83.68398954438761,-91.15670759755407,-69.26227626312053,16.236538248818608,16.236538248818608,0.8382595908125,0.8382595908125
Baseline,IDA2,33,156.19,10.026725054,52.5,142.0396051342872,72.6701438282124,8.895554474729865,-7.667402934785628e-09,-81.83111620919485,-106.38618412419738,-98.09709231603391,3.926755254075576,3.926755254075576,1.1777894588564628,1.1777894588564628
Baseline,IDA2,34,156.19,10.026725054,52.5,142.0396051342872,72.6701438282124,8.895554474729865,-7.667402934785628e-09,-81.83111620919487,-95.93451041673859,-108.5487660234927,3.9267552540755712,3.9267552540755712,1.1777894588564628,1.1777894588564628
